ds,yhat,yhat_lower,yhat_upper,y,y-yhat
2021-03-01 00:00:00,7147.09020304825,7003.051298481509,7282.671662083732,7102.38,-44.71020304825015
2021-03-01 00:30:00,7114.760533926228,6975.008998709182,7245.0495749146085,6947.85,-166.9105339262278
2021-03-01 01:00:00,6894.31396539686,6757.704556415046,7037.787036926222,6769.28,-125.03396539686037
2021-03-01 01:30:00,6680.7904522948875,6536.867089333376,6824.476556872617,6499.29,-181.5004522948875
2021-03-01 02:00:00,6364.387083570595,6227.09957687478,6497.88965836033,6336.15,-28.237083570595132
2021-03-01 02:30:00,6274.361893241791,6141.123664018962,6421.88689436226,6243.42,-30.94189324179115
2021-03-01 03:00:00,6269.177989321711,6132.486582895444,6411.499489812857,6205.89,-63.287989321710484
2021-03-01 03:30:00,6315.796713419086,6182.084539415149,6457.361647433258,6231.0,-84.79671341908579
2021-03-01 04:00:00,6429.6524001699145,6294.695356137884,6568.285897681386,6308.0,-121.65240016991447
2021-03-01 04:30:00,6584.0485477623115,6447.315804254446,6722.487203388925,6526.71,-57.338547762311464
2021-03-01 05:00:00,6914.819985261366,6782.193394553318,7060.311919355562,6743.86,-170.95998526136646
2021-03-01 05:30:00,7154.75454672572,7008.2098846805375,7295.458113427392,7217.68,62.9254532742807
2021-03-01 06:00:00,7755.59464822655,7607.48665329363,7904.290299885914,7648.96,-106.63464822654987
2021-03-01 06:30:00,8155.583655372879,8014.63508532403,8292.36811012626,8071.15,-84.433655372879
2021-03-01 07:00:00,8521.470610004551,8396.023415566804,8656.254950595727,8308.62,-212.85061000455062
2021-03-01 07:30:00,8608.90216806603,8468.190636738105,8746.290094885382,8374.86,-234.04216806602926
2021-03-01 08:00:00,8523.153327253689,8380.51526678642,8670.547879036292,8267.72,-255.43332725368964
2021-03-01 08:30:00,8281.213064207055,8146.706245847267,8424.65703119737,8226.01,-55.20306420705492
2021-03-01 09:00:00,8248.694071995043,8101.735870085756,8383.819853989973,8128.15,-120.54407199504385
2021-03-01 09:30:00,8128.976154906468,7994.867697990741,8258.263925062549,8063.04,-65.93615490646789
2021-03-01 10:00:00,8087.7800869310895,7942.0428620790035,8226.655229057294,8027.53,-60.250086931089754
2021-03-01 10:30:00,8086.749060649035,7946.9929922699,8222.841064065005,8018.16,-68.58906064903476
2021-03-01 11:00:00,8109.496685497562,7964.887371694361,8243.852560784147,8100.38,-9.116685497561775
2021-03-01 11:30:00,8255.209092274132,8118.42178066371,8392.24713396349,8142.51,-112.69909227413154
2021-03-01 12:00:00,8290.369350295396,8158.173954964814,8427.946809291388,8278.88,-11.489350295396434
2021-03-01 12:30:00,8475.1786479941,8330.031535363081,8620.209709531839,8519.26,44.081352005900044
2021-03-01 13:00:00,8779.963983390453,8650.154902255526,8921.26317521759,8812.15,32.18601660954664
2021-03-01 13:30:00,9108.0434222153,8968.15372762399,9249.325638114904,9162.01,53.96657778470035
2021-03-01 14:00:00,9492.735369774116,9362.537438805026,9641.255284881772,9491.93,-0.8053697741161159
2021-03-01 14:30:00,9820.241496001405,9682.717199509656,9959.884073365563,9631.56,-188.68149600140532
2021-03-01 15:00:00,9862.161098690978,9722.717117755252,10003.199765390655,10002.64,140.47890130902124
2021-03-01 15:30:00,10349.537154754282,10218.18916286894,10485.12065593603,10486.53,136.99284524571885
2021-03-01 16:00:00,10917.529155127379,10782.291801841147,11054.688202575857,10809.26,-108.26915512737833
2021-03-01 16:30:00,11152.401818630036,11006.034609316548,11289.079881072543,11065.98,-86.4218186300368
2021-03-01 17:00:00,11335.89835936245,11192.820322724254,11467.291958336931,11404.28,68.38164063754994
2021-03-01 17:30:00,11681.562097675745,11533.53027302852,11820.990404350201,11344.27,-337.292097675745
2021-03-01 18:00:00,11374.741707478339,11225.728679841533,11521.198657059027,11301.92,-72.8217074783388
2021-03-01 18:30:00,11266.69561257875,11137.593852780441,11401.737788008915,10998.98,-267.71561257874964
2021-03-01 19:00:00,10795.233957038332,10656.810710371166,10941.163893116962,10694.83,-100.40395703833201
2021-03-01 19:30:00,10448.524416529872,10308.80566870741,10592.591211001345,10503.21,54.68558347012731
2021-03-01 20:00:00,10312.499947058592,10179.395889487407,10452.148104355054,10088.74,-223.75994705859193
2021-03-01 20:30:00,9795.973513692534,9658.127497346144,9935.266330607226,9686.49,-109.48351369253396
2021-03-01 21:00:00,9401.667233158241,9269.262407692031,9540.219954566124,9221.54,-180.12723315824041
2021-03-01 21:30:00,8938.826604943188,8797.827029405884,9075.388787147014,8812.95,-125.87660494318698
2021-03-01 22:00:00,8588.48652338238,8444.612684299813,8730.334544843989,8396.63,-191.85652338238106
2021-03-01 22:30:00,8202.10127475561,8063.111006329317,8340.949385439506,8167.28,-34.82127475561083
2021-03-01 23:00:00,8089.355179386303,7948.585723318108,8221.791707762315,7951.83,-137.52517938630263
2021-03-01 23:30:00,7899.654415965688,7769.426003659157,8032.844575144474,7757.99,-141.66441596568802
2021-03-02 00:00:00,7705.7519745169675,7570.123657093838,7853.8057845386165,7608.8,-96.95197451696731
2021-03-02 00:30:00,7562.803766804679,7418.847464713325,7704.8957154812815,7380.75,-182.05376680467907
2021-03-02 01:00:00,7277.188751632726,7145.069773009458,7416.913543115779,7149.54,-127.64875163272609
2021-03-02 01:30:00,7027.338388703492,6884.326251283223,7165.586604580677,6859.84,-167.4983887034914
2021-03-02 02:00:00,6712.430948560341,6575.47232811215,6853.788974809753,6618.76,-93.67094856034055
2021-03-02 02:30:00,6517.478880240339,6380.563281699517,6654.587358857266,6495.31,-22.168880240338694
2021-03-02 03:00:00,6502.701149319438,6364.291942168,6641.988117229919,6434.3,-68.40114931943754
2021-03-02 03:30:00,6535.365803493317,6390.788043037404,6665.938785749193,6386.63,-148.73580349331678
2021-03-02 04:00:00,6551.142788500718,6420.458919075727,6690.184080584676,6444.25,-106.89278850071787
2021-03-02 04:30:00,6712.212519703618,6570.398941505074,6849.870481911642,6617.63,-94.58251970361835
2021-03-02 05:00:00,6988.901329603977,6847.124126546858,7113.249892319485,6850.07,-138.83132960397688
2021-03-02 05:30:00,7273.470267044442,7129.99442699384,7409.143994189659,7308.19,34.71973295555745
2021-03-02 06:00:00,7845.4095501308575,7707.254074528147,7980.045457531581,7677.56,-167.8495501308571
2021-03-02 06:30:00,8153.820971424463,8005.367720419351,8290.094728285474,7999.41,-154.41097142446324
2021-03-02 07:00:00,8396.847724030094,8259.318933571503,8535.967867157748,8109.91,-286.9377240300946
2021-03-02 07:30:00,8344.301614105874,8204.90021006836,8478.50507538408,8064.19,-280.11161410587465
2021-03-02 08:00:00,8155.8557576146795,8016.111506242722,8293.68515993645,8009.02,-146.8357576146791
2021-03-02 08:30:00,8057.8068865630885,7921.2020603447645,8203.405522146099,7836.62,-221.1868865630886
2021-03-02 09:00:00,7811.289312858643,7672.170267024361,7940.935915722839,7774.02,-37.26931285864248
2021-03-02 09:30:00,7800.1807756908975,7665.775810743432,7939.60373993329,7663.85,-136.3307756908971
2021-03-02 10:00:00,7685.551492353019,7550.277384578287,7828.313063930912,7469.35,-216.2014923530187
2021-03-02 10:30:00,7457.2269278803915,7328.128329311931,7592.6046583290545,7357.17,-100.05692788039141
2021-03-02 11:00:00,7400.286434113824,7259.575757589067,7537.411978122437,7231.9,-168.38643411382418
2021-03-02 11:30:00,7290.715337710005,7157.122564511595,7431.4014069410805,7321.09,30.374662289995285
2021-03-02 12:00:00,7504.243323407122,7368.1640162540725,7633.057464817193,7169.48,-334.7633234071227
2021-03-02 12:30:00,7249.2403738733055,7111.995852909428,7383.711600822649,7107.26,-141.98037387330533
2021-03-02 13:00:00,7219.528532440643,7078.243360546102,7353.807528103823,7111.89,-107.63853244064285
2021-03-02 13:30:00,7279.284727524864,7130.427047202188,7412.597253596858,7102.15,-177.1347275248645
2021-03-02 14:00:00,7281.311999917442,7146.135563297651,7413.320640262324,7184.91,-96.40199991744248
2021-03-02 14:30:00,7428.43961612409,7288.66373414558,7569.154309081429,7280.31,-148.1296161240898
2021-03-02 15:00:00,7557.501776443552,7428.073124933082,7691.679003352594,7456.95,-100.55177644355263
2021-03-02 15:30:00,7795.8017540022065,7667.013494706829,7931.42399441314,7660.61,-135.19175400220684
2021-03-02 16:00:00,8031.096233756602,7890.753599336916,8161.825144965106,7949.06,-82.03623375660118
2021-03-02 16:30:00,8364.885011288186,8229.921344343817,8504.096475083617,8052.47,-312.4150112881862
2021-03-02 17:00:00,8360.718353931003,8210.851221471637,8491.520484821916,8329.9,-30.818353931003003
2021-03-02 17:30:00,8688.024104014901,8538.968955795415,8821.718207522987,8459.65,-228.3741040149016
2021-03-02 18:00:00,8717.949049244562,8580.111861206426,8862.659010352916,8397.76,-320.18904924456183
2021-03-02 18:30:00,8498.35028394176,8364.79468591538,8638.427972424595,8394.8,-103.55028394176043
2021-03-02 19:00:00,8475.530351242449,8340.649001302012,8604.988202952118,8420.61,-54.920351242448305
2021-03-02 19:30:00,8496.17888510592,8361.627927443273,8636.073833162684,8317.72,-178.45888510591976
2021-03-02 20:00:00,8310.233504498614,8164.476377619347,8445.578439124041,8129.39,-180.84350449861358
2021-03-02 20:30:00,8062.657996008664,7930.831091411168,8199.347047732672,7949.77,-112.88799600866332
2021-03-02 21:00:00,7893.6776602529135,7762.201914825958,8045.387407138061,7642.11,-251.5676602529138
2021-03-02 21:30:00,7540.360310215036,7400.834917587754,7676.507429423352,7606.18,65.81968978496388
2021-03-02 22:00:00,7662.903039970787,7528.412506267242,7806.1347255214805,7495.2,-167.70303997078736
2021-03-02 22:30:00,7552.15083884882,7409.403826146258,7687.98978537279,7445.58,-106.57083884882013
2021-03-02 23:00:00,7530.564918653493,7393.392768545731,7665.4046141433255,7316.87,-213.694918653493
2021-03-02 23:30:00,7355.4810227208745,7213.66831886925,7500.215698933227,7197.12,-158.36102272087464
2021-03-03 00:00:00,7214.360035278824,7074.794444697414,7354.628984301458,7148.14,-66.22003527882407
2021-03-03 00:30:00,7180.571153960812,7051.372623982147,7326.245865082516,6963.17,-217.40115396081183
2021-03-03 01:00:00,6905.273837140869,6761.0337768731915,7044.349797118511,6756.23,-149.04383714086907
2021-03-03 01:30:00,6661.120051709986,6529.958977014338,6800.7929587060535,6451.45,-209.67005170998618
2021-03-03 02:00:00,6307.198428409884,6173.966891959623,6450.0239952689135,6286.25,-20.9484284098844
2021-03-03 02:30:00,6232.9653763003025,6097.901179342398,6369.698953444466,6124.4,-108.56537630030289
2021-03-03 03:00:00,6125.597621438657,5991.411778555511,6264.8462940865375,6083.11,-42.4876214386577
2021-03-03 03:30:00,6198.108032385973,6060.04673229902,6338.805044495548,6088.95,-109.15803238597346
2021-03-03 04:00:00,6291.271419325929,6155.720560029317,6437.515657963798,6160.29,-130.98141932592898
2021-03-03 04:30:00,6446.267442391643,6305.917925280464,6571.641480203646,6382.46,-63.807442391643235
2021-03-03 05:00:00,6785.791121723751,6645.944821137605,6914.934532886112,6583.28,-202.51112172375088
2021-03-03 05:30:00,6998.793680900273,6854.799973407038,7132.994326846074,7076.98,78.18631909972646
2021-03-03 06:00:00,7635.413695424194,7494.007075704568,7777.54253007588,7551.88,-83.53369542419387
2021-03-03 06:30:00,8092.896281982346,7959.172613469334,8224.674629170375,7834.03,-258.86628198234666
2021-03-03 07:00:00,8220.1409592991,8076.090262152847,8366.805193216824,8062.38,-157.76095929910025
2021-03-03 07:30:00,8352.582408789825,8211.574052619495,8475.184635074209,8041.08,-311.5024087898255
2021-03-03 08:00:00,8151.459371694235,8013.869223782019,8287.505308743011,7927.19,-224.26937169423582
2021-03-03 08:30:00,7939.026133530607,7801.350727838441,8078.87436049147,7841.96,-97.06613353060675
2021-03-03 09:00:00,7851.2853298256005,7718.10915107975,7992.365720863909,7665.62,-185.66532982560057
2021-03-03 09:30:00,7631.9118248932145,7502.919306749392,7785.8581663860405,7287.8,-344.11182489321436
2021-03-03 10:00:00,7152.050760285727,7005.700906733211,7288.157356481267,7197.37,45.31923971427295
2021-03-03 10:30:00,7220.78342556431,7084.916836380755,7369.410465362367,7266.58,45.79657443568976
2021-03-03 11:00:00,7422.520131137896,7296.222897010392,7564.954589069402,7054.54,-367.980131137896
2021-03-03 11:30:00,7084.584168033435,6951.560513708833,7238.43068881099,7028.14,-56.444168033434835
2021-03-03 12:00:00,7142.834158028698,7006.255368232056,7284.626281427606,7011.85,-130.9841580286975
2021-03-03 12:30:00,7158.459464564269,7021.62532822278,7292.116513345659,7080.31,-78.14946456426878
2021-03-03 13:00:00,7278.423427931559,7143.562262518356,7435.406594210633,7097.89,-180.53342793155844
2021-03-03 13:30:00,7283.002999755796,7139.010593154228,7424.213800740066,7002.55,-280.45299975579564
2021-03-03 14:00:00,7134.270068917499,7005.79534091969,7288.912771510965,6958.34,-175.93006891749883
2021-03-03 14:30:00,7126.141697767007,6978.367724096529,7270.760053910627,7023.09,-103.05169776700677
2021-03-03 15:00:00,7276.992630923814,7134.0882120386805,7422.225185523674,7193.6,-83.39263092381407
2021-03-03 15:30:00,7535.0692093969665,7400.805334671317,7672.5886430298315,7339.92,-195.1492093969664
2021-03-03 16:00:00,7688.38630950122,7549.38390907123,7825.521475622168,7592.09,-96.2963095012201
2021-03-03 16:30:00,7994.532082786148,7849.325234605137,8130.2651582708,7943.02,-51.5120827861474
2021-03-03 17:00:00,8393.535169222972,8254.072438152572,8539.87766248792,8129.71,-263.82516922297236
2021-03-03 17:30:00,8470.651385943404,8335.82457117617,8606.250956457607,8131.81,-338.8413859434031
2021-03-03 18:00:00,8319.683209357792,8174.895022050245,8452.828700467775,8244.87,-74.8132093577915
2021-03-03 18:30:00,8437.747510125662,8303.73411686985,8582.004558910163,8201.04,-236.70751012566143
2021-03-03 19:00:00,8284.213429940448,8146.196720132101,8425.714216429062,8154.52,-129.69342994044746
2021-03-03 19:30:00,8193.964778958725,8059.0716106956415,8334.849961586719,8148.41,-45.554778958725365
2021-03-03 20:00:00,8194.356379732584,8055.897994935823,8327.596884833603,8009.5,-184.85637973258417
2021-03-03 20:30:00,7985.002637783071,7842.218174950513,8126.238350750908,7738.15,-246.85263778307126
2021-03-03 21:00:00,7641.180334345574,7498.434777872105,7776.4443853597995,7567.48,-73.70033434557445
2021-03-03 21:30:00,7535.909030698267,7394.734537880832,7673.757715759419,7478.65,-57.25903069826745
2021-03-03 22:00:00,7524.146793704018,7384.8961520744,7669.31583631924,7308.01,-216.1367937040177
2021-03-03 22:30:00,7331.321136500654,7191.369277375862,7478.507366344542,7326.16,-5.161136500653811
2021-03-03 23:00:00,7447.255254221575,7307.804148769518,7588.1245797568,7248.16,-199.0952542215755
2021-03-03 23:30:00,7324.666087762457,7187.3007297043505,7455.716026591521,7096.47,-228.19608776245695
2021-03-04 00:00:00,7102.320231324086,6963.323002212207,7236.873234040989,7010.79,-91.53023132408634
2021-03-04 00:30:00,7020.404287194092,6888.378114779065,7161.254483031465,6831.85,-188.55428719409156
2021-03-04 01:00:00,6775.864566513561,6645.127347578335,6913.731578807494,6641.11,-134.75456651356126
2021-03-04 01:30:00,6558.003767430964,6419.6877453619245,6701.211620741301,6368.14,-189.8637674309639
2021-03-04 02:00:00,6244.129214384144,6108.952122498685,6379.720571833963,6174.93,-69.19921438414349
2021-03-04 02:30:00,6110.523348200442,5977.916763441332,6250.63821722894,6052.78,-57.7433482004426
2021-03-04 03:00:00,6073.415521181501,5935.127000034286,6215.16521096565,6024.68,-48.7355211815011
2021-03-04 03:30:00,6151.347163454872,6023.084121579783,6304.672407412208,6053.69,-97.65716345487272
2021-03-04 04:00:00,6269.89253339901,6125.954846310022,6400.369801306815,6095.54,-174.3525333990101
2021-03-04 04:30:00,6367.47967527213,6225.6977069470295,6509.6590534486995,6340.1,-27.379675272130044
2021-03-04 05:00:00,6751.342060308373,6608.941103857652,6894.924151503198,6519.71,-231.63206030837318
2021-03-04 05:30:00,6925.081617750394,6788.597459004801,7057.439697014388,6990.17,65.08838224960618
2021-03-04 06:00:00,7535.198958738974,7394.433193980984,7676.415539259378,7438.72,-96.47895873897414
2021-03-04 06:30:00,7966.150647252105,7828.862889055983,8104.150905121217,7720.04,-246.11064725210508
2021-03-04 07:00:00,8108.403240412901,7976.730670021497,8240.198670872893,7822.11,-286.29324041290147
2021-03-04 07:30:00,8052.225241936329,7913.987563556024,8194.152408604528,7683.26,-368.9652419363292
2021-03-04 08:00:00,7731.605043162798,7591.913707547573,7879.673730104072,7428.18,-303.4250431627979
2021-03-04 08:30:00,7372.604214425219,7240.262410926672,7520.093013494875,7303.04,-69.56421442521878
2021-03-04 09:00:00,7303.781877638426,7172.401874977524,7441.520721551545,7108.77,-195.01187763842518
2021-03-04 09:30:00,7092.09653540008,6958.289818753573,7235.947169228412,6940.05,-152.04653540007985
2021-03-04 10:00:00,6945.4505068098,6804.541648003433,7089.01547241458,6824.84,-120.61050680979952
2021-03-04 10:30:00,6880.1614500191135,6738.064394660734,7013.598224686216,6649.89,-230.27145001911322
2021-03-04 11:00:00,6696.598863602652,6563.86344219363,6833.7918406134795,6591.7,-104.89886360265245
2021-03-04 11:30:00,6712.722214118843,6577.737418243854,6842.197691457136,6532.98,-179.74221411884355
2021-03-04 12:00:00,6676.856260843475,6542.639231079348,6817.096223340718,6514.09,-162.7662608434748
2021-03-04 12:30:00,6687.416275371155,6548.1963668108965,6815.695327879453,6597.36,-90.0562753711556
2021-03-04 13:00:00,6836.412305851422,6698.579791074875,6974.1383072672925,6659.57,-176.84230585142268
2021-03-04 13:30:00,6902.810228325592,6765.888193398495,7038.443460317121,6739.95,-162.8602283255923
2021-03-04 14:00:00,7000.095068353379,6867.149543547671,7143.9330499454945,6825.77,-174.3250683533788
2021-03-04 14:30:00,7104.517003363667,6965.180128056657,7235.552158536574,6985.34,-119.1770033636667
2021-03-04 15:00:00,7322.081446035755,7190.40245228746,7463.361808285522,7273.84,-48.24144603575496
2021-03-04 15:30:00,7701.33264813079,7574.369562589993,7847.04344083745,7524.78,-176.55264813079066
2021-03-04 16:00:00,7947.207658538857,7806.44494774396,8085.620033023154,7926.54,-20.667658538856813
2021-03-04 16:30:00,8419.781726381072,8279.548691422486,8550.575150010818,8206.88,-212.90172638107288
2021-03-04 17:00:00,8628.133045665814,8496.923208361924,8767.446879689433,8581.2,-46.93304566581355
2021-03-04 17:30:00,9008.093360085995,8864.367891790336,9144.145880030641,8759.28,-248.81336008599465
2021-03-04 18:00:00,9046.538963163335,8905.19316720197,9182.352470126449,8953.9,-92.63896316333557
2021-03-04 18:30:00,9185.912537560109,9051.928896156147,9333.911100979616,8851.2,-334.7125375601081
2021-03-04 19:00:00,8883.673259003488,8745.0107578497,9018.525277045035,8791.81,-91.86325900348857
2021-03-04 19:30:00,8791.867022418513,8640.82871773221,8928.761414428876,8685.0,-106.86702241851344
2021-03-04 20:00:00,8650.019476427065,8509.088850574242,8782.074938401005,8507.28,-142.7394764270648
2021-03-04 20:30:00,8429.829769731465,8305.140168899276,8566.359778999276,8212.91,-216.91976973146484
2021-03-04 21:00:00,8079.391583249171,7931.279844458284,8221.105475343038,7876.71,-202.68158324917113
2021-03-04 21:30:00,7733.048905690253,7592.973144375536,7881.979225738323,7731.97,-1.0789056902531229
2021-03-04 22:00:00,7715.130455243839,7574.036193590951,7851.088172977832,7613.25,-101.8804552438387
2021-03-04 22:30:00,7645.637783371956,7512.104641663345,7774.849793808455,7559.15,-86.48778337195654
2021-03-04 23:00:00,7633.06404800363,7492.257345742316,7765.458295171515,7355.08,-277.98404800363005
2021-03-04 23:30:00,7344.41944078341,7206.384530803093,7485.608713053259,7198.04,-146.37944078341025
2021-03-05 00:00:00,7182.208551520613,7044.054450863023,7335.217130005371,7105.3,-76.90855152061249
2021-03-05 00:30:00,7106.099267227629,6971.07289810841,7235.103403609884,6932.96,-173.1392672276288
2021-03-05 01:00:00,6875.982517325387,6732.904369678893,7010.312460130898,6754.76,-121.22251732538643
2021-03-05 01:30:00,6674.121243481615,6534.090605688871,6820.9809338214,6462.96,-211.1612434816152
2021-03-05 02:00:00,6324.675062880755,6183.971327044038,6463.978079241669,6234.41,-90.26506288075507
2021-03-05 02:30:00,6144.39029213238,6000.3656934544415,6291.991827072515,6119.14,-25.2502921323794
2021-03-05 03:00:00,6136.469638624795,6011.752481990593,6264.209631965235,6086.6,-49.86963862479479
2021-03-05 03:30:00,6207.749110634232,6064.616837784619,6349.444284920849,6158.5,-49.24911063423224
2021-03-05 04:00:00,6392.626802855439,6258.416608761251,6525.581143265045,6218.94,-173.68680285543905
2021-03-05 04:30:00,6499.281140092629,6367.798559181633,6646.9591899608995,6381.92,-117.36114009262928
2021-03-05 05:00:00,6745.469268416787,6604.648022675186,6897.852983517222,6573.47,-171.99926841678644
